epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,49,,,,0.623046875,,,
0,99,,,,0.59375,,,
0,149,,,,0.578125,,,
0,199,,,,0.6484375,,,
0,249,,,,0.615234375,,,
0,293,,,,,,0.5950884222984314,0.9889839887619019
0,293,,,0.5944733023643494,,1.1194173097610474,,
1,299,,,,0.638671875,,,
1,349,,,,0.595703125,,,
1,399,,,,0.65625,,,
1,449,,,,0.63671875,,,
1,499,,,,0.59375,,,
1,549,,,,0.640625,,,
1,587,,,,,,0.637651801109314,0.8941271305084229
1,587,,,0.6251364946365356,,0.9091894030570984,,
2,599,,,,0.642578125,,,
2,649,,,,0.65234375,,,
2,699,,,,0.65234375,,,
2,749,,,,0.654296875,,,
2,799,,,,0.654296875,,,
2,849,,,,0.638671875,,,
2,881,,,,,,0.6531003713607788,0.8417688608169556
2,881,,,0.6535757184028625,,0.8321362137794495,,
3,899,,,,0.65234375,,,
3,949,,,,0.66796875,,,
3,999,,,,0.658203125,,,
3,1049,,,,0.658203125,,,
3,1099,,,,0.693359375,,,
3,1149,,,,0.66015625,,,
3,1175,,,,,,0.6625559329986572,0.8321521282196045
3,1175,,,0.6692768931388855,,0.791520893573761,,
4,1199,,,,0.6796875,,,
4,1249,,,,0.6796875,,,
4,1299,,,,0.693359375,,,
4,1349,,,,0.666015625,,,
4,1399,,,,0.68359375,,,
4,1449,,,,0.669921875,,,
4,1469,,,,,,0.6688951849937439,0.8030027151107788
4,1469,,,0.681342363357544,,0.7635269165039062,,
5,1499,,,,0.662109375,,,
5,1549,,,,0.697265625,,,
5,1599,,,,0.70703125,,,
5,1649,,,,0.712890625,,,
5,1699,,,,0.6640625,,,
5,1749,,,,0.693359375,,,
5,1763,,,,,,0.669827401638031,0.7948943972587585
5,1763,,,0.6897056698799133,,0.7415635585784912,,
6,1799,,,,0.685546875,,,
6,1849,,,,0.73046875,,,
6,1899,,,,0.685546875,,,
6,1949,,,,0.712890625,,,
6,1999,,,,0.728515625,,,
6,2049,,,,0.712890625,,,
6,2057,,,,,,0.6743021607398987,0.7944284677505493
6,2057,,,0.6978292465209961,,0.7232909798622131,,
7,2099,,,,0.689453125,,,
7,2149,,,,0.73046875,,,
7,2199,,,,0.689453125,,,
7,2249,,,,0.72265625,,,
7,2299,,,,0.701171875,,,
7,2349,,,,0.68359375,,,
7,2351,,,,,,0.6708129048347473,0.8100312352180481
7,2351,,,0.7049474120140076,,0.7069867253303528,,
8,2399,,,,0.681640625,,,
8,2449,,,,0.759765625,,,
8,2499,,,,0.697265625,,,
8,2549,,,,0.71875,,,
8,2599,,,,0.6875,,,
8,2645,,,,,,0.6750212907791138,0.8092835545539856
8,2645,,,0.7110400795936584,,0.6932165026664734,,
9,2649,,,,0.720703125,,,
9,2699,,,,0.73828125,,,
9,2749,,,,0.712890625,,,
9,2799,,,,0.69140625,,,
9,2849,,,,0.693359375,,,
9,2899,,,,0.6796875,,,
9,2939,,,,,,0.6723843812942505,0.8094416856765747
9,2939,,,0.7174524068832397,,0.6782780885696411,,
10,2949,,,,0.70703125,,,
10,2999,,,,0.720703125,,,
10,3049,,,,0.732421875,,,
10,3099,,,,0.703125,,,
10,3149,,,,0.708984375,,,
10,3199,,,,0.71875,,,
10,3233,,,,,,0.6687619686126709,0.817630410194397
10,3233,,,0.7239778637886047,,0.6635035276412964,,
11,3249,,,,0.712890625,,,
11,3299,,,,0.7265625,,,
11,3349,,,,0.744140625,,,
11,3399,,,,0.75,,,
11,3449,,,,0.732421875,,,
11,3499,,,,0.759765625,,,
11,3527,,,,,,0.6514489650726318,0.8377912044525146
11,3527,,,0.7290651202201843,,0.6507506370544434,,
12,3549,,,,0.7421875,,,
12,3599,,,,0.697265625,,,
12,3649,,,,0.759765625,,,
12,3699,,,,0.744140625,,,
12,3749,,,,0.70703125,,,
12,3799,,,,0.744140625,,,
12,3821,,,,,,0.6684157252311707,0.8426891565322876
12,3821,,,0.7369289994239807,,0.6366521120071411,,
13,3849,,,,0.748046875,,,
13,3899,,,,0.728515625,,,
13,3949,,,,0.716796875,,,
13,3999,,,,0.734375,,,
13,4049,,,,0.736328125,,,
13,4099,,,,0.759765625,,,
13,4115,,,,,,0.6493713855743408,0.8527641892433167
13,4115,,,0.7444466352462769,,0.6234273314476013,,
14,4149,,,,0.8125,,,
14,4199,,,,0.7421875,,,
14,4249,,,,0.712890625,,,
14,4299,,,,0.74609375,,,
14,4349,,,,0.763671875,,,
14,4399,,,,0.755859375,,,
14,4409,,,,,,0.6632484793663025,0.8563971519470215
14,4409,,,0.750652551651001,,0.6105917692184448,,
15,4449,,,,0.75,,,
15,4499,,,,0.7734375,,,
15,4549,,,,0.740234375,,,
15,4599,,,,0.759765625,,,
15,4649,,,,0.77734375,,,
15,4699,,,,0.759765625,,,
15,4703,,,,,,0.667536735534668,0.8838560581207275
15,4703,,,0.756945013999939,,0.597188413143158,,
16,4749,,,,0.767578125,,,
16,4799,,,,0.7421875,,,
16,4849,,,,0.755859375,,,
16,4899,,,,0.75,,,
16,4949,,,,0.759765625,,,
16,4997,,,,,,0.6525410413742065,0.9006328582763672
16,4997,,,0.762951135635376,,0.5846182107925415,,
17,4999,,,,0.77734375,,,
17,5049,,,,0.77734375,,,
17,5099,,,,0.74609375,,,
17,5149,,,,0.740234375,,,
17,5199,,,,0.8125,,,
17,5249,,,,0.751953125,,,
17,5291,,,,,,0.660771369934082,0.8869385719299316
17,5291,,,0.7694433331489563,,0.5728368759155273,,
18,5299,,,,0.814453125,,,
18,5349,,,,0.7890625,,,
18,5399,,,,0.759765625,,,
18,5449,,,,0.78515625,,,
18,5499,,,,0.80078125,,,
18,5549,,,,0.763671875,,,
18,5585,,,,,,0.6631685495376587,0.9014732837677002
18,5585,,,0.7758556604385376,,0.5597331523895264,,
19,5599,,,,0.794921875,,,
19,5649,,,,0.791015625,,,
19,5699,,,,0.78125,,,
19,5749,,,,0.76953125,,,
19,5799,,,,0.78515625,,,
19,5849,,,,0.765625,,,
19,5879,,,,,,0.6517419815063477,0.9217870831489563
19,5879,,,0.7819283604621887,,0.5483622550964355,,
