epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,49,,,,0.59765625,,,
0,99,,,,0.619140625,,,
0,149,,,,0.640625,,,
0,199,,,,0.677734375,,,
0,249,,,,0.66796875,,,
0,293,,,,,,0.6573354005813599,0.8485127687454224
0,293,,,0.6434078812599182,,0.8852855563163757,,
1,299,,,,0.70703125,,,
1,349,,,,0.697265625,,,
1,399,,,,0.705078125,,,
1,449,,,,0.669921875,,,
1,499,,,,0.65625,,,
1,549,,,,0.7109375,,,
1,587,,,,,,0.671478807926178,0.8005140423774719
1,587,,,0.6803435683250427,,0.7701913118362427,,
2,599,,,,0.681640625,,,
2,649,,,,0.6953125,,,
2,699,,,,0.697265625,,,
2,749,,,,0.736328125,,,
2,799,,,,0.67578125,,,
2,849,,,,0.68359375,,,
2,881,,,,,,0.6789900064468384,0.7717425227165222
2,881,,,0.6934678554534912,,0.7359604239463806,,
3,899,,,,0.6796875,,,
3,949,,,,0.677734375,,,
3,999,,,,0.681640625,,,
3,1049,,,,0.703125,,,
3,1099,,,,0.71875,,,
3,1149,,,,0.662109375,,,
3,1175,,,,,,0.6857287287712097,0.759824812412262
3,1175,,,0.7042348980903625,,0.7083603143692017,,
4,1199,,,,0.716796875,,,
4,1249,,,,0.693359375,,,
4,1299,,,,0.73828125,,,
4,1349,,,,0.67578125,,,
4,1399,,,,0.697265625,,,
4,1449,,,,0.693359375,,,
4,1469,,,,,,0.6830651760101318,0.7707858681678772
4,1469,,,0.7159075736999512,,0.6814255118370056,,
5,1499,,,,0.73828125,,,
5,1549,,,,0.7265625,,,
5,1599,,,,0.73828125,,,
5,1649,,,,0.7109375,,,
5,1699,,,,0.748046875,,,
5,1749,,,,0.70703125,,,
5,1763,,,,,,0.677658200263977,0.7864878177642822
5,1763,,,0.7261353135108948,,0.6533864140510559,,
6,1799,,,,0.751953125,,,
6,1849,,,,0.77734375,,,
6,1899,,,,0.736328125,,,
6,1949,,,,0.74609375,,,
6,1999,,,,0.703125,,,
6,2049,,,,0.708984375,,,
6,2057,,,,,,0.679309606552124,0.8040145635604858
6,2057,,,0.741030752658844,,0.6218253970146179,,
7,2099,,,,0.765625,,,
7,2149,,,,0.716796875,,,
7,2199,,,,0.75390625,,,
7,2249,,,,0.740234375,,,
7,2299,,,,0.7265625,,,
7,2349,,,,0.744140625,,,
7,2351,,,,,,0.6776848435401917,0.857020914554596
7,2351,,,0.7559994459152222,,0.5893417596817017,,
8,2399,,,,0.80859375,,,
8,2449,,,,0.775390625,,,
8,2499,,,,0.783203125,,,
8,2549,,,,0.794921875,,,
8,2599,,,,0.748046875,,,
8,2645,,,,,,0.6746750473976135,0.9096383452415466
8,2645,,,0.7713876962661743,,0.5550130009651184,,
9,2649,,,,0.7734375,,,
9,2699,,,,0.794921875,,,
9,2749,,,,0.822265625,,,
9,2799,,,,0.75390625,,,
9,2849,,,,0.796875,,,
9,2899,,,,0.765625,,,
9,2939,,,,,,0.6746750473976135,0.9235330820083618
9,2939,,,0.7869090437889099,,0.5195032358169556,,
10,2940,0.6727322936058044,0.939771294593811,,,,,
