epoch,step,train_accuracy_epoch,train_accuracy_step,train_loss
0,49,,0.736328125,
0,99,,0.681640625,
0,149,,0.68359375,
0,199,,0.71484375,
0,249,,0.71484375,
0,293,0.7006925344467163,,0.7318248152732849
1,299,,0.69921875,
1,349,,0.662109375,
1,399,,0.736328125,
1,449,,0.6875,
1,499,,0.697265625,
1,549,,0.720703125,
1,587,0.7043048739433289,,0.725732147693634
2,599,,0.703125,
2,649,,0.734375,
2,699,,0.720703125,
2,749,,0.703125,
2,799,,0.72265625,
2,849,,0.716796875,
2,881,0.7065867185592651,,0.719953715801239
3,899,,0.67578125,
3,949,,0.734375,
3,999,,0.73828125,
3,1049,,0.728515625,
3,1099,,0.70703125,
3,1149,,0.71484375,
3,1175,0.7085492610931396,,0.7145469784736633
4,1199,,0.7109375,
4,1249,,0.70703125,
4,1299,,0.73046875,
4,1349,,0.681640625,
4,1399,,0.701171875,
4,1449,,0.7265625,
4,1469,0.7108311057090759,,0.7094734907150269
