epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,49,,,,0.630859375,,,
0,99,,,,0.671875,,,
0,149,,,,0.64453125,,,
0,199,,,,0.654296875,,,
0,249,,,,0.66796875,,,
0,293,,,,,,0.6573352217674255,0.848141074180603
0,293,,,0.6369140148162842,,0.9245029091835022,,
1,299,,,,0.65234375,,,
1,349,,,,0.658203125,,,
1,399,,,,0.666015625,,,
1,449,,,,0.677734375,,,
1,499,,,,0.66015625,,,
1,549,,,,0.6875,,,
1,587,,,,,,0.6631895303726196,0.8378357887268066
1,587,,,0.6668241024017334,,0.8158080577850342,,
2,599,,,,0.6484375,,,
2,649,,,,0.638671875,,,
2,699,,,,0.71484375,,,
2,749,,,,0.64453125,,,
2,799,,,,0.66796875,,,
2,849,,,,0.7265625,,,
2,881,,,,,,0.6639080047607422,0.8335548043251038
2,881,,,0.6729777455329895,,0.797414243221283,,
3,899,,,,0.673828125,,,
3,949,,,,0.70703125,,,
3,999,,,,0.66796875,,,
3,1049,,,,0.65234375,,,
3,1099,,,,0.693359375,,,
3,1149,,,,0.68359375,,,
3,1175,,,,,,0.6635621190071106,0.8332856893539429
3,1175,,,0.6772487759590149,,0.785282552242279,,
4,1199,,,,0.673828125,,,
4,1249,,,,0.701171875,,,
4,1299,,,,0.6640625,,,
4,1349,,,,0.666015625,,,
4,1399,,,,0.71484375,,,
4,1449,,,,0.65625,,,
4,1469,,,,,,0.6642539501190186,0.8334750533103943
4,1469,,,0.6807214021682739,,0.775518000125885,,
5,1499,,,,0.65625,,,
5,1549,,,,0.705078125,,,
5,1599,,,,0.66796875,,,
5,1649,,,,0.66796875,,,
5,1699,,,,0.685546875,,,
5,1749,,,,0.701171875,,,
5,1763,,,,,,0.6639612317085266,0.8378787636756897
5,1763,,,0.6840144395828247,,0.7667133808135986,,
6,1799,,,,0.72265625,,,
6,1849,,,,0.69140625,,,
6,1899,,,,0.666015625,,,
6,1949,,,,0.65234375,,,
6,1999,,,,0.685546875,,,
6,2049,,,,0.65234375,,,
6,2057,,,,,,0.6612735986709595,0.839837372303009
6,2057,,,0.6865224838256836,,0.7586449384689331,,
7,2099,,,,0.669921875,,,
7,2149,,,,0.716796875,,,
7,2199,,,,0.70703125,,,
7,2249,,,,0.701171875,,,
7,2299,,,,0.6953125,,,
7,2349,,,,0.677734375,,,
7,2351,,,,,,0.6613001823425293,0.8435183763504028
7,2351,,,0.6903544068336487,,0.7511149048805237,,
8,2399,,,,0.67578125,,,
