rating,text
5,"Love their BBQ!  There fries are delicious.  If you don't get full, it is your own fault."
5,"The service is fast. The food is inexpensive and delicious.  Also, they use all precautions to keep their restaurant sanitized and normal through these ever changing times. Definitely reccomend trying it out!"
5,"This was by far the best dining experience my family and I have had in a long time. The food was outstanding!! The staff couldn't have been more polite, professional or helpful. We will most definitely be returning often as this has now become our new favorite go to."
5,"Great food, great service."
5,"Good BBQ, Nice atmosphere friendly staff."
5,"DELICIOUS!  Ribs fall right off the bone, the brisket was sweet and savory, baked beans were impressive (better than bush's), mac and cheese was good, and the catfish was excellent.  Portion sizes were generous and filling.

We'll definitely go again!"
5,The shrimp are Great
5,Best BBQ in Ohio. The Brisket and Roasted Potatoes are must tries.
5,This was good BBQ 👍
5,This place is large. The beer is good. The atmosphere is nice.
5,Never had a bad meal here. We love the atmosphere and all the staff are very nice.
5,Excellent
5,"Great staff, quick service, Good food"
5,Best wings ever
5,love this place  never disappoints been several time now
5,Get the brisket or the smoked wings. Also house beer pitchers were 10$ on the Sunday I was there.
5,Enjoyed the food...very good quality
5,"Best bbq place I know !! Delicious food , clean and friendly atmosphere."
5,Great food had the loaded fries with pulled pork first time eating there great atmosphere !
5,Delicious
5,Food was hot and really good
5,Great food and 🍺
5,Great barbecue ribs!
5,"Best BBQ in Mackinaw City MI, the Cole Slaw....wow."
5,Good people & good food.
5,Great food and great sevice. Definitely worth the drive!
5,Love this place! Good food! Service good too.
5,Excellent service and excellent food at a great price!!!
5,Food on Tuesday is 5 dollars appetizers well worth it
5,"Both cocktails had dragon in the name so I had to try them both, neither disappointed. Food was great also."
5,"The food has great flavor, and the staff are very helpful. I'll definitely be coming back."
5,Excellent nachos
5,Awesome!!!
5,It was super nice there!! We had a hugeeee party and they did really well with serving all of us. It has a nice view and not long waits for food.
5,Good place and Good food. Large Menu of food. There is free parking. They have slot machines. You should check to see if you access to slot machines and check to see if they serve alcoholic beverages.
5,Everyone there is awesome and the food is great.
5,"You want delicious bbq and healthy serving sizes, this is the place. The food is always cooked to perfection been there 3 times prior to review. Kinda weird setup though with food and bar separate kind of a pain because food line generally long bar area can also be packed n paying separately not enjoyable. But the food makes it worth the trip!"
5,"Love this place! You can’t beat the lunch special, and the employees are always friendly! Great lunch spot"
5,Inexpensive and the food was good
5,Loved the brisket. Best I’ve ever eaten.
5,On believable menu Very unique homemade barbecue sauces Fantastic  Smoked food Very large  Portions Live with smile on your face
5,Terrific food great ambiance
5,"Very good BBQ, my second favorite but definitely the place to come if you live near Naperville and want some good BBQ."
5,"Wow! Really good BBQ, try their wings!"
5,"Excellent as usual-I had the chicken wings w/ fries. mild sauce, coleslaw. Chicken was well seasoned, crispy on the outside and not over cooked on the inside."
