rating,text
5,"This is one of those ""hole in the wall"" places people in the know talk about.  Great value, generous portions and delicious offerings compliment their kind staff."
5,💘 it
5,Best place in town for hotdogs and root beer
5,Food is so good
5,Always a hit!
5,Love eating here.
5,Portillos is great! They feed me chocolate cake!!
5,Great mom and pop
5,Good hot dogs
5,Delicious
5,"Love,Love,Love Jaenicke's!!!! Best root beer in IL!! The food is great too. Definitely recommend going here!!! ❤❤❤"
5,Food was excellent and the customer service was fantastic
5,"Stopped for ice cream, it was excellent!"
5,Always good food
5,"Always fast, friendly service and great food"
5,Good
5,Love it so much
5,Love Portillo's ! Try to find one to eat at whenever we're out.
5,Italian beef and hotdogs are phenomenal. Cake shake... What's not to like?
5,Tasty And the best customer service
5,Always a good place to eat
5,Great place for Chicago dogs and Italian beefs
5,There food is always good. You never know when a good time to go when it's not busy.  The place keeps you coming back for more.
5,A long wait for food but well worth it. Even through the drive thru my orders have always been correct.
5,Great plsce
5,Great cheesy beefs
5,Always the best lunche..!!!
5,"I have to stop here at least once a month to satisfy my cravings for the Italian Combo (Italian Beef & Sausage) with Mild Peppers on Italian Bread. What makes this sandwich so irresistible is the Sausage is browned before slow cooking it with the Roast Beef. The meat is then placed on the bread and generously drizzled with the juices from the slow cooker (Au-jus). The only thing I might suggest would be purchasing Italian loafs that have been fermented a bit longer for a crispier crust, but that's just me being picky. All in all these sangwitches (Chicago for Sandwich) remind me of the Italian Combo's served up at Chicago Cubs, Wrigley Field Ballpark, only $10.00 cheaper :)"
5,"Great Ice cream, food, and very affordable. Right by a creek were you can feed the fish."
5,Portillo's is true Chicago . Stop in you will be glad you did.
5,"The ""BEST"" Dogs Ever!"
5,Best beef in Chicago. True Chicago style hot dog. Really fast drive thru deplspite the appearance of the long line when you arrive.
5,Great Italian Beef!
5,"You Vann never go wrong with Portillo's, a place in my home town tried to mimmick there atmosphere and food and failed"
5,"My family and I have been coming here for years! I still eat the same ice cream today as I did when I was 4! Thank you so much! Wonderful staff, great service, beautiful layout and environment, and of course delicious food and ice cream. So fortunate to have our own Mrs. Curl right here in lil' old Greenwood."
5,Excellent customer service and great tasting burgers
5,Fully satisfied with this place as always!
5,Great food
5,Portillos is always delicious
5,"Great options, fast service and the cake shake is to die for."
5,If they only had catch up
5,"Food was good, service was good 👍will go again. The employees outside taking orders mad respect for them 👏 keep it 💯"
5,"Big Beef and Sausage Combo With Mozz and Red Sauce on the Side ,Fries and a Super Size RootBeer is a Meal that Will Make You Happy and Sleepy .."
5,I love the food. I cant say more. I drive 45 minutes to go there when the mood strikes. Love the Italian beef with spicy peppers and mozzarella.
5,Awesomesauce....
5,Omg.......foit long chili cheese dawg is the fricken bomb. Definitely go and try if u haven't. You won't be dissapointed.
5,Chicago style!
5,I love the chocolate cake
5,BEST HOT DOG IN CHICAGO!
5,good food and pet friendly
5,It was great
5,My brother was sleeping in the back of the car with a blanket over his head. Pretty sure the waiter was freaked out. Also the cake shake is good.
5,Friendly service! Great food
5,Fast service. Food is on point.
5,Good as food everything is good
5,Allways great
5,Great as always!
5,Love there food it's addictive. Fresh hot food. Great customer service.
5,"Portillos just rocks.  Big beef, hot plus motz, dipped. Large fries.  I just changed your world.  Your welcome."
5,"I couldn't expect to serve customers in a busy shop, but it was delicious. There were many interesting posters in front of the toilet that looked back on history."
5,"I sat down and enjoyed their food, especially the fries."
5,Best🍌 banana 🍌split🍌 I had all summer. It was as big as my head and twice as good. Delicious!!!🍨😋
5,LOVE the fudge flurries l
5,Great sandwiches- skip the tamales though
5,"Can't miss eating here food is great, beef,beef and saugage are my favorite, try the strawberry shortcake it's good to."
5,"It's good. It's really good. If you haven't had five guys, you're missing out..."
5,Great birthday party
5,"The best!! We were eating dinner with our 4.5 year olds and an employee, Barbara, came up to us and started up a conversation. She was so friendly! She even brought our kids a slice of cake when she heard the kids talking about some, lol. We love it here ♡"
5,Always A decent dog
5,Great as always!! Coney's!!
5,"Great chicago dogs, and italian beef.  Good, fast service."
5,Wondeful food as always!
5,So simple and delicious! Clean restaurant. Good customer service and fast!
5,"I'm never disappointed ,it was very busy as usual ,but the staff definitely did their best to accommodate all the drive thru cars. Patience is definitely a must when visiting especially during these uncertain and trying times."
5,Best place to go
5,Always good food and  service
5,"It's just soooooo consistently delicious. Well worth the wait, but try to avoid peak eating times"
5,Best hot dogs I have ever had...
5,Friendly and professional.
5,Oh my Gosh!!! The Italian Big Beef mmmmmmmmmnm!!! Delicious!!!
5,Best beef in the world!
5,Good food
5,Good food
5,Love the onion rings
5,Always good food
5,I love it
5,Chopped salad is the bomb
5,"(Translated by Google) Gives food and service

(Original)
Geart food and service"
5,Love the beef. Kinda pricey but it's a guilty pleasure.  What can you do.when u just gotta have it.
5,Quick drive up only service to catch a quick lunch!
5,Friendly service.  Great place to eat.  Very clean.   Their hotdogs were definitely great and I'm a hotdog fanatic.  Very fussy about where i will eat a hotdog from.   Will definitely come back.  Must try.  You will be glad you did.
5,I get the chicken strips and fries..I love them
5,Absolutely love this place super fast friendly service always on point whether you eat in or go through the drive-thru definitely go here all the time.
5,Tom and crew are great!
5,Great place
5,This place was totally awesome. My wife and son were with me for a baseball tournament near here and was looking for somewhere to eat and this popped up on Google maps so tried it and was GREAT. My Italian sausage was excellent the hotdogs my son and wife had were great. I was talking to the guy about the tournament my son was in and asked where I could get a little more ice and he offered some just to keep the water cold in my little cooler for my son. Just a great place
5,This place is amazing. Their chocolate shake cakes are the bomb dot com.
5,Great beef sandwiches & fries.
5,I love their chili dogs they make me happy can't wait till they open back up again
5,Great food. Never disappoints.
5,"A Chicago Institution, great food"
5,Yummy!!!
5,Always great service and always fresh .
5,Fast in and out
5,Always the best dogs and service. The Chicago style is a must try. Hang out and people watch on the deck and chat with other customers. Lapumas always draws a friendly crowd.
5,Great service and delicious food. We always make a point of stopping here when we are in town. Got an Italian beef sandwich and my husband got a Maxwell Street Polish. Both were as expected...amazing! They should expand to every state.
5,Took our almost 3 year old grandson for his first time here. He had a plain hot dog and fries. He lived it. Plus he liked the music playing and all the stuff on walls and the train.
5,"Food was great, had a great time here, I also love the atmosphere."
5,"Get a beef sandwich. There's a generous portion of Italian beef served on fresh bread. Super thick chocolate shake! Friendly, fast service."
5,One of my favorite places to visit!  My husband and I have been coming here for lunch since we started dating 20 years ago. Great hotdogs and fries!
5,Love this place
5,"Always come back home to eat at this place. Good food, prices and love the atmosphere."
5,Good service. Good food. Love this little dive
5,Best hot dog in town!
5,Great salads and sandwiches. Desserts are always good also.
5,"During COVID times , dine in is closed. Please do not come if you're in a hurry.  My go to is an Italian beef dipped with cheese and peppers. Super good. No complaints yet. They take CASH and CARD"
5,Love the soggy Italian beef sandwich and cake shakes. Forever my favorite
5,Love eating here. Spicy honi ftw!
5,I love finding an excuse to travel to this side of town just so I can drop in for a couple chili cheese dogs.
5,Nice place near Oakland University
5,Best fast food burger around...
5,Great food!
5,Order the ribs!
5,Awesome coneys And shakes. Some of the best coneys in city!
