rating,text
5,"I thought the lines would be long and not worth the food. I was proven wrong a thousand times over, and the decor was astounding. So if you're looking for a good bite and are in the area, I heavily suggest coming here."
5,Amazing food always really packed so plan ahead where ur going to sit
5,Excellent French Fries and Chocolate Milkshake. My family enjoys the food; ranging from the Chicago Dog to the chicken. They all like the milkshakes. The service is good and the facility is clean. I think you could spend hours looking at the items in ther walls.
5,"Outstanding quality, quantity & Price. Great selection of Chicago's favorite foods!"
5,Everything I Was looking for in a Coney Island type of menu.   The food was GREAT  !!!
5,Good food
5,"Great food, fast"
5,Definitely the best place in town for a hot dog or beef sandwich.
5,Great food and good service
5,I love the food go here a lot.
5,Wonderful ice cream!
5,Always a great hotdog.
5,Thank you
5,"Fast, delicious. Who could ask for more."
5,Amazing food and beer!!!!!
5,The best Italian Beef sandwich in town!
5,Love there food
5,Very clean establishment.
5,All the ice creams good
5,Great food every time
5,Great customer service
5,"This place is always packed, and once you try it you will understand why!"
5,Love the food.
5,as a Chicago native having one here in the Indianapolis area was a nice addition. regular patrons won't be disappointed and for those looking for a new stop this is a must.
5,the best
5,Portillo's is great as always and this location is well designed and consistent.
5,one of the best burgers ive ever eaten
5,Inexpensive food and the hamburgers are really good.
5,"Very fast service, even though there was a long line, I got the food before I got to the pickup window, good food also."
5,It's good and fast.
5,Still a great stop for a quick bite anytime
5,It's portillos...
5,Nice place to hangout with friends or family.
5,The beef!
5,Really good enough said
5,Always good.
5,Consistently good food with very friendly staff! I enjoy all their food but especially the chopped salad.
5,Oh wow first time I got to finally try this place my buddy always talked about it.
5,Great Food !!!!!!
5,Good Dogs and Italian Beef...Oh and Chocolate Cake!!!
5,Love love love this place and their food.
5,Great foof
5,Great food. Great old fashion service.
5,Yummy as always
5,Food was great
5,Really Good hotdogs
5,Love Portillo's love their ribs that publishes especially their Italian beef off the chain fivestars Portillos
5,"One of the last genuine Chicago Style Hot Dog places (with so much more too!) Always amazing food that will fill you up, friendly staff who give this old place personality and character.

Seriously, you've gotta get lunch at this best kept secret."
5,"It's Portillos, best beef & salads to be found"
5,Great hot dogs and beefs are excellent
5,Haven't had an gyro in so long. Got myself one Saturday for lunch and it was definitely delicious. The staff was awesome.
5,Always great. Portillos is the only place my son will have hot dogs at. Apparently I can't make any hot dogs he says. Lol.
5,It's Portillo's. Duh!
5,Good food
5,Best hot dog I've ever had.
5,It's amazing.
5,Love their polishes.
5,"Love love love U-Dogs! Delicious food, oh my goodness, that Chicago dog! Sweet potato fries are another favorite. The food is always fresh and the restaurant it's clean!

I was not having a good day.  They went above and beyond to help me and see that I got myself and food to go okay."
5,Best ice cream in town
5,Good all America food great prices.
5,So glad to see our favorite drive-in opened again!
5,"The food was tasty. My girlfriend and I both greatly enjoyed the strawberry shortcake. The price was great for that, but our main meal was a little more on the expensive side. The atmosphere is really neat, but the place was very busy, and there was hardly any seating left. Overall, we really liked eating here and plan to come back."
5,"Epic hot dogs, we will definitely be coming back to sample more of the menu as well as some of their adult beverages as well."
5,Awesome food!
5,"Great hamburger.  In this time of pandemic when drive thrus are very popular, this location has it right.  I got in line at 6:05 and was end of parking lot with cars coming from both directions.  They had staff directing traffic and taking orders so that line kept moving.  I had small order so was done before I got to window.  They got order to me and dot me out of line so I could leave.  I ate in parking lot and was done by 6:30.  Not bad in my experience."
5,Can't go wrong with the chili dog
5,Great hot dogs and sandwiches. Kids love the milkshakes. Crispy fries.
5,Had a wonderful veggie omelette. The hash browns were perfectly crispy. All around great place to eat no matter the time of day.
5,Great service and food. Freindly employees
5,Fresh hot food breakfast any time.
5,Awesome food
5,"I've been coming here since I was a kid. As long as it's here, I'll keep coming. Love their polish and fries!"
5,Good food
5,Best gyro in Crown Point! The portions are huge.
5,Who doesn't love Portillos?
5,The best!
5,Low prices great food!
5,Who doesn't like Portillo's‽
5,"Been going here since I was a kid,  good memories and good food."
5,Always great
5,"The food in this place is great, try their burgers l."
5,Love this place!
5,So unhealthy but sooo good!!
5,My Family loves Mr. Hot dogs
5,Great Food
5,Very good
5,Good fast food
5,"Verg good, fast service, the was very courteous and the amazing"
5,"(Translated by Google) Excellent, I like the burgers, they are delicious

(Original)
Excelente me gustas las hamburguesas son ricas"
5,Good grub
5,Wide variety of food. Staff in Barnelli's side can be a bit nicer like Portillo's side but overall they're great!!!
5,The best Italian beef I had in a long time.
5,"Best Chicago's  Style Hot Dog
Best Salad bar"
5,"Courteous employees, quick service and delicious food."
5,Always get the Maxwell St. Polish or Chopped Salad or Chili and Tamale so good
5,I like the beef sandwiches and the salads
5,"BLACK WALNUT ICE CREAM OUR FAVORITE AND Strawberry Shake, needed a little more strawberry flavor"
5,Great pizza and buffalo wings. Good service.
5,Love going to this location!! Its like visiting family!!
5,Can't go wrong with a Italian beef here
5,Love their food
5,Italian beef sandwich!
5,"Grew up with Portillo's and I so glad there is one closer to me now as an adult. Everything is great but my go tos are Chicago dog, beef and cheddar croissant, and fries (sometimes with a side of cheese.) But again everything from chicken to burgers, salads, and desserts are great!"
5,Great Gryos!  Clean and friendly.
5,I love their polish sausage. So good...i used to go in the 90th
5,Food is Great!!
5,Yummy yummy yummy
5,Great food! Fresh cut fries!! Definitely will be back!!
5,"(Translated by Google) A fun and relatively cheap place to eat Chicago-style hot dogs (and many other things if you like it). The spectacular decoration ... you have to be aware of your number.

(Original)
Un lloc divertit i relativament barat on menjar els hot dogs a l'estil de Chicago (i  moltes altres coses si us ve de gust). La decoració espectacular...cal estar pendents del vostre número."
5,Chilli cheese hot dogs are wonderful
5,This place has awesome food
5,We have been here twice now and it is just a delight of a place. Friendly staff and unique options that will keep us coming back to try new things! Super good!
5,If you're ever in Illinois this is the first place you gotta go. Amazing food
5,Lines were long but the employees made sure that the lines were moving quickly.  Food was good. We will be going back for the chocolate cake.
5,Great little hometown restaurant. I had a great server and beer and wine is on the menu if that is for you.
5,Great food
5,"Great choices, decent prices, very family friendly"
5,"Good food, friendly staff, fun environment, kid friendly. Z"
5,Who don't love superdawg😚😚
5,Love Portillo's. One of my favorite restaurants.
5,"Perfect ,my first time there. Dogs were great ,hot  and spicy. Super friendly. I will be back a lot."
5,Great as always
5,Great food
5,Awesome
5,"One of the best coney island, i have had. The staff are really good and helpful. They are happy and proud about the food they serve. The price is very resonable ."
5,Cheddar dogs hit the spot and chocolate cake for the win.
5,"Fast and friendly! I got a grilled chicken, and it was very flavorful! Fries and onion rings are great!"
5,It's the best ice cream ever
5,Excellent!
5,3 words... Chocolate. Cake. Shake. Do it. Get the large.
5,Great food!
5,Great burgers and dogs
5,"Stopped in for lunch and grabbed a dog, fries, and an Old Style. The dog was really good and the fries fresh and crisp (better than McD, though not quite as good as Portillos which I say are the gold standard for fries). Reasonably priced, good location in Logan Square, and the staff was really friendly. Even on a cold day, it was okay to stand outside and the ledge and eat. Will be back (many times I'm sure.)"
5,"There is really allot on their menu.....and they sell "" blue moon"" flavor ice cream!"
5,Excellent food love to eat there.😋😋😋
5,I really like their onion rings
5,Good food and good price
5,Great gyros
5,"Good place to eat, wonderful service."
5,"Huge menu, good quality, neat place"
5,Best Coney's in the world!
5,Every bit as great as Chicago land locations! Gotta have the Italian Beef!
5,"Yummy both times I have gone.  Though $0.60 for peppers, two slices, and $.60 for two extra slices seems pricey."
