rating,text
5,the food was good and the prices are great. the staff is nice and can get you what you need
5,Best pad thai in the surburbs!
5,"Had a party of 14. Attentive waiter and staff. Wasn’t sure what I was going to order and I had skimmed the menu a few hours before. Stuck to my gut, and ordered a egg roll and then for the main entree the Hibachi Fried Rice with Chicken. Both better than expected, food was hot and had a great presentation. Reasonably priced as well. Great atmosphere, we will be back!"
5,Awesome sushi and great atmosphere!
5,I was delighted to find out Warsaw had a good Thai restaurant. Excellent service and very friendly.
5,"Delicious food,great service. Definitely coming back"
5,"Beautiful place, amazing service, and even more amazing food. Thank u!"
5,"Samoeun's happy wok is sensationally savory. The food is a fantastic blend of splendid seasoning doused in a splash of succulent sauces. I am personally in love with the Pad Thai, and addicted to the spring rolls. The atmosphere is crisp, cozy, quaint, and comfortable. The service is bright, cheery, and like the food is full of positive energy. Don’t be fooled by it’s un assuming humble strip mall location, after all that’s the norm in Plover. Inside those glass doors awaits a phenomenal meal with your name all over it. Samoeun's happy wok makes me walk with happiness."
5,Wife and baby and mother in law eat here a few times a week - good Thai food + awesome service!
5,Amazing food!! Great prices! Friendly staff!!
5,"Absolutely the best Thai food I have ever had at a restaurant. The flavors were very fresh. The crab Rangoon is how you always dream of it being but only BETTER! The entrees were very colorful, perfectly seasoned and the plate presentation was beautifully done. The dessert was awesome!  Plum rice, mangoes and vanilla ice cream with a sweet drizzle! 😗"
5,We enjoyed the food and the service. The Thai soups were incredible. And the dinner portion was as generous as it was delicious.
5,Great sushi! Excellent environment! Service was top notch.  Will be back for sure.  Hazelnut truffle ice cream dessert was amazing.  Had the signature volcano roll and it was fantastic!
5,"Tasty food, large portion, very vegan and gluten free friendly."
5,"The food is amazing, and the interior is also beautifully decorated! The spicy basil dish with chicken and the medium spiciness level is ON POINT (maybe the best Asian food I've had in the US), the chicken satay with peanut sauce and some vegetable sauce is AMAZING (the sauce really makes it), and the pad Thai is the best I've ever had (I don't usually like pad Thai). 10/10!"
5,"Stopped in for a quick lunch, i will definitely be back"
5,One of my favorite places to dine in Madison.  Great food love it
5,Love going here. Friendly staff and awesome food!
5,Pad Thai and red curry are my two favorites.
5,"Best Thai food in Kenosha, indeed some of the best outside of Chicago (and better than most there). Authentic and very tasty food."
5,Who doesn't love sushi.....
5,Simple small place. Amazing Thai food.
5,I have to give this place 5 stars because I think the 3.5 star rating  isn't fair or indicative if food quality and atmosphere.  I have ate at quite a few Asian buffets in the Cincinnati area.  This one has been one of my favorites for years.  In the top 2 or 3 for this area.  They have a great variety of food choices with 6 full food bars and a stir fry station and sushi bar.  The place is kept clean and has a nice atmosphere. I always recommend this first to friends looking for a good Asian buffet
5,Amazing! The pad Thai rolls are to die for. I've also tried the ribs which were tender and scrumptious. I highly recommend.
5,The soup is what makes me go here again and again.
5,Extraordinary ambience and super welcoming service. The meals were fresh and delightful. Will surely recommend this place to my friends. Fair rates and generous meals. Keep up the great work.
5,Tom Ka. Do it.
5,"The best thigh Cuisine restaurant int own, Service speed can be improved a bit"
5,Really good food and nice service. I had a dinner with a friend and I will definitively come back!
5,A hidden gem in the QC. Crab ragoons are to die for. All the food we have had is fresh and amazingly delicious. Definitely a must try.
5,The best Thai food around. Small family run place that just serves the best food. The owners and staff are some of the nicest people.
5,Love the lunch buffet!
5,Waitress real nice and polite and the food was fantastic!
5,"Restaurant very cool, clean, great food. Staff nice friendly.
Conrad the Mgr does a great job..."
5,"I love the food here. I usually go for lunch. There is usually a wait,  but its worth it. Give yourself time. The place is a bit small and parking is difficult to find."
5,Food is great
