rating,text,type,probs,preds
2,alot to look at the river view is nice the food is ok prices are high and the staff suck,Restaurant,"[0.7254965901374817, 0.2745034396648407]",mixed
4,slow but good food,Fast food restaurant,"[0.21842482686042786, 0.7815751433372498]",mixed
3,not the cleanest one i have been to we had an excellent waiter but were stuck in the middle of the floor with our 18 mo son not the best to keep him corralled,Takeout Restaurant,"[0.9639889597892761, 0.03601105511188507]",negative
3,the bowl of vegan pozole was good and did a good job of tasting like a meat flavored pozole the tamale stack is unique the guac was average and overpriced,Restaurant,"[0.10750149190425873, 0.8924985527992249]",positive
3,clean but very slow service,Mexican restaurant,"[0.9056224822998047, 0.0943775400519371]",negative
2,the customer service was great a but the food was terrible bottom crust was undone and it was so beyond greasy,Pizza restaurant,"[0.9906789660453796, 0.009320965968072414]",negative
2,meat was still cold,Seafood restaurant,"[0.9957614541053772, 0.00423851702362299]",negative
2,not as good as expected,American restaurant,"[0.9347299933433533, 0.0652700737118721]",negative
4,lovely they had the food ready for pickup when i got there checkout was quick,Restaurant,"[0.005634713917970657, 0.9943653345108032]",positive
3,very very slow service  everytime we go,Restaurant,"[0.9978786706924438, 0.002121313940733671]",negative
3,trout was dry and over cooked broccoli and rice pilaf too salty service not very attentive,Family restaurant,"[0.9986773133277893, 0.0013226791052147746]",negative
3,prices are a bit high for what you get,Japanese restaurant,"[0.8975724577903748, 0.10242756456136703]",negative
4,charming place friendly and attentive host portions and quality were exceptional,Barbecue restaurant,"[0.0032025412656366825, 0.996797502040863]",positive
4,good place,Restaurant,"[0.11007284373044968, 0.8899271488189697]",positive
3,food is good but portions are small,Restaurant,"[0.0895007774233818, 0.9104992151260376]",positive
2,beer good over priced for my tastes but me a redneckser vice was great,American restaurant,"[0.719680905342102, 0.28031912446022034]",mixed
4,kids have fun,Restaurant,"[0.02106129564344883, 0.9789386987686157]",positive
3,ate there a handful of times the last few times the resturant wasnt busy and after two refills of coffee my server and the bus boy would not come back to the table i was waiting for more water so i could clean up my son and leave he was getting fussy all the eye contact wasnt making a difference i wasnt camping all day i was there for an hour seems to be a greek diner thing where they decide when you are finished i had to ask the hostess for help,Traditional American restaurant,"[0.9689924120903015, 0.031007563695311546]",negative
2,service was horrible started taking my order then just stopped in the middle of my order for 2 minutes then acted inconvenienced and rude that i was still waitimg for them to finish taking my order will never use this location again ill take the drive out of my way and go to hall rd and north ave from now on,Restaurant,"[0.9986245632171631, 0.0013753949897363782]",negative
3,i love chipotle but this location needs customer service work,Fast food restaurant,"[0.9585709571838379, 0.04142903536558151]",negative
3,great scenery and decor the food is okay the service is mediocre at best,Restaurant,"[0.25955450534820557, 0.7404454946517944]",mixed
4,good service,American restaurant,"[0.05652378126978874, 0.9434762001037598]",positive
3,ordered 2 chicken sandwiches that are suppose to come with pickles i got 1 slice of pickle on 1 and 2 slices on other get real,Restaurant,"[0.9928194880485535, 0.007180504966527224]",negative
2,ribs were as tough as beef jerky,Restaurant,"[0.9972934126853943, 0.002706606173887849]",negative
2,slow service and fajitas just meh,Mexican restaurant,"[0.9971041083335876, 0.0028959272895008326]",negative
3,first place i went to eat after being locked up waitress talked our head off about my  bfs dreads,Breakfast restaurant,"[0.06100816652178764, 0.9389917850494385]",positive
4,great breakfasts,Family restaurant,"[0.02849400043487549, 0.9715059399604797]",positive
3,food alright drive thru sucks,Hot dog restaurant,"[0.6489149332046509, 0.3510850965976715]",mixed
3,i come here often the food is very good but the service is very slow and inattentive,Restaurant,"[0.6330196857452393, 0.36698031425476074]",mixed
4,overall great flavor excellent service and clean modern establishment beef brisket was dry and it seems that the portions became smaller ribs were delicious still one of the better independent barbecue places in green bay wi it knocks famous daves clear out of the culinary waters,Barbecue restaurant,"[0.0031614978797733784, 0.9968384504318237]",positive
4,they have very good steaks,Restaurant,"[0.049957867711782455, 0.9500421285629272]",positive
4,good food good service pleasant staff,Restaurant,"[0.02737671509385109, 0.9726232290267944]",positive
2,chicken tenders had no flavor and not very crispy,Seafood restaurant,"[0.9995730519294739, 0.0004269412311259657]",negative
4,i dont be honest very friendly and professional staff and i only go there for the botana theyre very delicious and meatless,Restaurant,"[0.032333362847566605, 0.9676666259765625]",positive
3,fast drive thur good food big mac,Restaurant,"[0.019799692556262016, 0.9802002906799316]",positive
3,food was not hot,American restaurant,"[0.9981728792190552, 0.0018270608270540833]",negative
2,super expensive and the quality of food doesnt match the price,Family restaurant,"[0.9986911416053772, 0.0013088362757116556]",negative
3,  its good but his mexican counterpart carls jr wins him by far i do not know if hardees is the cheap version of carls jr in the united states  original es bueno pero su contra parte mexicana carls jr le gana y por mucho no se si hardees es la versión barata de carls jr en estados unidos,Hamburger restaurant,"[0.48610347509384155, 0.5138965249061584]",mixed
4,good food good service seating was a bit close ,Restaurant,"[0.007705346681177616, 0.9922946691513062]",positive
2,dont care much for their good inlaws love it,Family restaurant,"[0.8841033577919006, 0.11589662730693817]",negative
3,portions were generous taste was just okay staff were friendly  the turning point was about an hour later  i was so sick after eating there  we had the fish and potatoes with mushroom appetizer something just didnt agree with my system,Restaurant,"[0.995576024055481, 0.004423933569341898]",negative
4,great place not overcrowded like most starbucks quick service and pretty clean,Breakfast restaurant,"[0.0016528315609320998, 0.9983471632003784]",positive
3,nothing special but still a decent place,Restaurant,"[0.6430462002754211, 0.35695376992225647]",mixed
4,food is always fresh our family loves eating here nice staff and its always fun to watch your food being cooked right in front of you,Asian restaurant,"[0.001860307645983994, 0.9981397390365601]",positive
2,the food here is a little saltier than i prefer we have also had some bad experiences on servers not getting to our table within 20 minutes,Restaurant,"[0.9666556715965271, 0.03334430977702141]",negative
2,stale chicken in all the dishes we ordered red curry cashew chicken and chicken satay for sunday lunch avoid,Sushi restaurant,"[0.9996339082717896, 0.0003661077644210309]",negative
2,price is reasonable but you get what you pay for not for hungry 6  230lb guys ,Restaurant,"[0.9615412354469299, 0.03845873475074768]",negative
3,the order was correct fries could have better,Restaurant,"[0.21693895757198334, 0.7830610275268555]",mixed
3,they are very slow no matter what time of day,Restaurant,"[0.9990335702896118, 0.0009664263925515115]",negative
2,customer service need big improvement food too bland stop going years ago because of poor service  came back because tmobile paid for a chicken sandwich im done with this location,Seafood restaurant,"[0.9978756904602051, 0.0021242836955934763]",negative
4,good food,Restaurant,"[0.030685730278491974, 0.9693143367767334]",positive
2,went to taco bell in wapak and it was terrible i waited half an hour for my food and had to correct the order twice,Vegetarian restaurant,"[0.9558976888656616, 0.04410233721137047]",negative
3,my burger tasted burnt and just kind of weird the waffle fries were delicious though,Restaurant,"[0.9893959164619446, 0.01060415431857109]",negative
4,ok bar  great bar food  kelly is a great and attentive bartender and server  the service is why i will come back  im not fond of karaoke  this place did nothing to change my mind,American restaurant,"[0.8745757341384888, 0.12542423605918884]",negative
3,it was cool,Restaurant,"[0.09645804762840271, 0.9035419225692749]",positive
2,pricy with meh service,Soup restaurant,"[0.9926921725273132, 0.007307872176170349]",negative
2,12 mile and telegraph is normally a decent location but my visit today was not a good the food preparers did not pay attention to my order even after i corrected them ahead of time so they would not mess my order up and they still did and if your handling food arent you supposed to be wearing a hair net with shoulder length hair im just saying food today was not up to good standards,Soup restaurant,"[0.9985206723213196, 0.0014793750597164035]",negative
4,food seems to have gone down since they opened wish they had the cotton candy for lunch also,Family restaurant,"[0.27296578884124756, 0.7270342111587524]",mixed
2,got my order wrong twice sloppy dingy and dirty tables are small and to close together the food was nothibg special and tasteless,Restaurant,"[0.9993126392364502, 0.0006873944075778127]",negative
4,typical culvers,Restaurant,"[0.9514791965484619, 0.0485207736492157]",negative
4,great food,Chicken restaurant,"[0.008010750636458397, 0.9919891953468323]",positive
3,it was ok   it seemed like they adjusted the recipes for american tastes  i wanted real vietnamese food,Vietnamese restaurant,"[0.972331166267395, 0.02766881324350834]",negative
2,typical big boy  no big deal food is over priced,Hamburger restaurant,"[0.53889399766922, 0.46110597252845764]",mixed
2,long waitsfood screw upsthis location has been in a rapid decline i wont be back to this location for a long time,Vegetarian restaurant,"[0.9942176342010498, 0.005782332271337509]",negative
2,slow service and dirty bathroom,Vegetarian restaurant,"[0.9980332255363464, 0.0019667851738631725]",negative
3,food is great service bites,Fast food restaurant,"[0.06398650258779526, 0.9360134601593018]",positive
4,ok,Family restaurant,"[0.6049923300743103, 0.3950076401233673]",mixed
4,wish we knew too crowded to feel safe eating in next time we will order online ahead of time the staff was very friendly but way too crowded,Breakfast restaurant,"[0.9273499250411987, 0.07265007495880127]",negative
4,good subs,Restaurant,"[0.05536818504333496, 0.944631814956665]",positive
2,ordered salad to go watched two tables  different waitress group of 4 sat down waitress brought food out for other table told them my waitress would be rite out to help them bout 7 min wen by they walked after about 22 min they brought me my salad was fresh and good but 22min for a salad to go not happy with time it took for as dead as restaurant was,American restaurant,"[0.9720906019210815, 0.02790936827659607]",negative
2,my order is always wrong or missing something ,Restaurant,"[0.9704089760780334, 0.029591087251901627]",negative
2,i was so happy when this was built  now in just mad  i dont expect high end food at a fast food place and the first few times i chalked up the poor quality to it being new but this morning was the last straw the food was so horrible and the bacon was limp so i can say thank god you only had a half a piece on the croissant  maybe better training is needed but even though i live in the area ill drive the extra few minitues to cleveland ave or tusc,Fast food restaurant,"[0.9992243051528931, 0.0007757155108265579]",negative
3,love the chicken snack wraps,Restaurant,"[0.010633234865963459, 0.9893667101860046]",positive
4,japanese food stalls,Japanese restaurant,"[0.5766858458518982, 0.4233141541481018]",mixed
3,there ok nothing special just another over priced coffee house that sells food,Restaurant,"[0.992790699005127, 0.007209289353340864]",negative
3,it looks way better now but the service is still mediocre,Restaurant,"[0.531089186668396, 0.4689107835292816]",mixed
4,it is a good local place  nothing fancy i highly recommend the bone in wings around the corner style  same with most of the appetizers  fried pub food  the grilled fish cajun style was also surprisingly good,Restaurant,"[0.006325312424451113, 0.9936747550964355]",positive
4,great wings  appetizers look for good food  drink specials,Restaurant,"[0.006287786643952131, 0.9937121868133545]",positive
4,great good and service,Restaurant,"[0.011299754492938519, 0.9887002110481262]",positive
2,i ordered a whole italian sub and a 12 of an italian sub to go this is supposed to come with me cheese onions and banana peppers the sandwich was so small i made a comment to the server how small it looked and she agreed  not only was it smalle it did not have any vegetables garnish nothing on it it was just meat cheese not for sure of all go back or not,Restaurant,"[0.9993162155151367, 0.0006837851251475513]",negative
4,service was a little slow but all the food was fresh and yummy their irish nachos are really unique and the chips were delish,Restaurant,"[0.002884077141061425, 0.997115969657898]",positive
4,always busy and food is great,Southern restaurant (US),"[0.003759983694180846, 0.9962400197982788]",positive
4,fries were cold fish was crunchy flaky and tasty  spanish coffee was good,Vegan restaurant,"[0.2494068145751953, 0.7505931854248047]",mixed
3,very bad service bad experience,Restaurant,"[0.9979990124702454, 0.002000912092626095]",negative
4,friendly and good food,American restaurant,"[0.011290313675999641, 0.9887096285820007]",positive
2,not open,Soup restaurant,"[0.9540624022483826, 0.04593757912516594]",negative
2,food is not that great,Family restaurant,"[0.9605687856674194, 0.039431240409612656]",negative
3,takes a bit to get food but it was alright,Hamburger restaurant,"[0.17271636426448822, 0.8272836208343506]",positive
2,messed my order up after it took 20 minutes,Seafood restaurant,"[0.9800018668174744, 0.019998176023364067]",negative
4,edit went in and talked to managerowner she was very apologetic and helpful after speaking with her about how rude her employee is i feel better about the situation maybe nothing will come of it but in the past i have had nothing but good experiences so im changing my review  just ordered from here 22618 1045pm on my lunch break at work like i sometimes do for myself and a few of my coworkers this time i received the wrong sandwich it had bacon on it which i do not eat bacon and furthermore nothing in our entire order has anything to do with bacon  they messed up fine right i call and tell them this and a young man answers the phone tells me he will give me 5 dollars off my next order i said hold on a second my sub was more than 5 dollars im not going to eat this sub i do not eat bacon the guy gets a even bigger attitude than he has before and tells me he will give me a free sandwich and hangs up on me  at this point i cant believe it i wasnt even rude although having to work another 5 hours without eating is pretty frustrating didnt even get an apology at any point in the phone call anyways thats the end of my rant i wont go back except when i return the sandwich and get my money back they can keep that free one,Pizza restaurant,"[0.8880066275596619, 0.11199338734149933]",negative
2,  the service is goodbut the food does not  original el servicio es buenopero la comida no,Latin American restaurant,"[0.9850879311561584, 0.014912093058228493]",negative
